Atom: V , Spin: 1, Partial Phase Shift and DOS at Energy =    0.84925934
Total DOS in Cell and MT Volumes =   12.82408443  10.40994960
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.87623399           0.29063134           0.19999198
  1    -1          -0.27509514           1.15232413           0.67168675
  1     0          -0.27509514           1.15346094           0.67168675
  1     1          -0.27509514           1.15459776           0.67168675
  2    -2           1.15413830           1.62037599           1.50554587
  2    -1           1.23883686           2.09511139           1.97030156
  2     0           1.06943973           1.14693545           1.04079018
  2     1           1.23883686           2.09511139           1.97030156
  2     2           1.15413830           1.62167085           1.50554587
  3    -3           0.00254404           0.05850276           0.02399616
  3    -2           0.00483918           0.09085057           0.03861433
  3    -1           0.00327657           0.08696430           0.03440195
  3     0           0.00144536           0.01869791           0.00838746
  3     1           0.00327676           0.08705518           0.03440195
  3     2           0.00483918           0.09092723           0.03861433
  3     3           0.00254424           0.06086726           0.02399616
