Atom: Ti, Spin: 1, Partial Phase Shift and DOS at Energy =    0.61256842
Total DOS in Cell and MT Volumes =   26.15106809  21.97697416
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.66859565           0.23669523           0.17837754
  1    -1          -0.17313527           1.83652416           1.17399089
  1     0          -0.17313527           1.83726451           1.17399089
  1     1          -0.17313527           1.83800487           1.17399089
  2    -2           0.75457948           3.80176712           3.50175721
  2    -1           0.80483596           4.17373167           3.90471894
  2     0           0.70432301           3.43817647           3.09879547
  2     1           0.80483596           4.17373167           3.90471894
  2     2           0.75457948           3.81014102           3.50175721
  3    -3           0.00254167           0.13132443           0.03979554
  3    -2           0.00395052           0.18492233           0.08665349
  3    -1           0.00302622           0.08107478           0.02497858
  3     0           0.00181487           0.20862406           0.06202098
  3     1           0.00302628           0.08122335           0.02497858
  3     2           0.00395052           0.18490874           0.08665349
  3     3           0.00254172           0.13295370           0.03979554
