Atom: Ti, Spin: 1, Partial Phase Shift and DOS at Energy =    1.09657070
Total DOS in Cell and MT Volumes =   21.54996749  18.34808646
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -1.18235940           1.24663589           0.87429423
  1    -1          -0.47861826           0.93481702           0.60774417
  1     0          -0.47861826           0.93481702           0.60774417
  1     1          -0.47861826           0.93481702           0.60774417
  2    -2           0.99246278           2.93228610           2.68643723
  2    -1           0.99246278           4.91848400           4.50623246
  2     0           0.99246278           0.94608821           0.86664200
  2     1           0.99246278           4.91848400           4.50623246
  2     2           0.99246278           2.93228610           2.68643723
  3    -3           0.00757749           0.06245180           0.02923784
  3    -2           0.00757749           0.27381133           0.12821446
  3    -1           0.00757749           0.04519269           0.02115835
  3     0           0.00757749           0.08834046           0.04135706
  3     1           0.00757749           0.04519269           0.02115835
  3     2           0.00757749           0.27381133           0.12821446
  3     3           0.00757749           0.06245180           0.02923784
