Atom: Ti, Spin: 1, Partial Phase Shift and DOS at Energy =    0.61408648
Total DOS in Cell and MT Volumes =   25.04375222  22.49595926
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.67644279           0.88068768           0.66412169
  1    -1          -0.17664607           0.49345026           0.32221218
  1     0          -0.17664607           0.49414792           0.32221218
  1     1          -0.17664607           0.49484559           0.32221218
  2    -2           0.74404254           4.47599784           4.11999732
  2    -1           0.79025956           4.63025544           4.33040684
  2     0           0.69782499           4.32641781           3.90958780
  2     1           0.79025956           4.63392703           4.33040684
  2     2           0.74404201           4.48251121           4.11999732
  3    -3           0.00263204           0.01620341           0.00739692
  3    -2           0.00383243           0.01455617           0.00757312
  3    -1           0.00302186           0.01522890           0.00745279
  3     0           0.00204733           0.01947514           0.00731311
  3     1           0.00302189           0.01536050           0.00745279
  3     2           0.00383243           0.01453943           0.00757312
  3     3           0.00263207           0.01773035           0.00739692
  4    -4           0.00003622           0.00571533           0.00028997
  4    -3           0.00013737          -0.00286859           0.00030885
  4    -2           0.00009549           0.00416358           0.00027229
  4    -1           0.00009969           0.00066250           0.00031203
  4     0          -0.00004829           0.00452176           0.00027983
  4     1           0.00009969           0.00066406           0.00031203
  4     2           0.00009549           0.00367798           0.00027229
  4     3           0.00013737           0.00080456           0.00030885
  4     4           0.00003622           0.00107637           0.00028997
