Atom: Ti, Spin: 1, Partial Phase Shift and DOS at Energy =    0.61302656
Total DOS in Cell and MT Volumes =   25.31952673  22.74988081
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.67083201           0.88125326           0.66425491
  1    -1          -0.17212663           0.49533000           0.32317709
  1     0          -0.17212663           0.49573803           0.32317709
  1     1          -0.17212663           0.49614606           0.32317709
  2    -2           0.75790854           4.54809578           4.18239544
  2    -1           0.78437886           4.63274244           4.33443918
  2     0           0.73143821           4.46920412           4.03035171
  2     1           0.78437886           4.63274244           4.33443918
  2     2           0.75790854           4.55385078           4.18239544
  3    -3           0.00331762           0.01687609           0.00741777
  3    -2           0.00352336           0.01436730           0.00748514
  3    -1           0.00340859           0.01543660           0.00744684
  3     0           0.00318117           0.02009350           0.00737417
  3     1           0.00340859           0.01551281           0.00744684
  3     2           0.00352336           0.01436915           0.00748514
  3     3           0.00331762           0.01776836           0.00741777
