Atom: U , Spin: 1, Partial Phase Shift and DOS at Energy =    1.36877918
Total DOS in Cell and MT Volumes =   29.93746886  27.47605354
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0           0.66729338           0.39358391           0.27494969
  1    -1           1.41003725           0.29966945           0.29104966
  1     0           1.41003725           0.29966945           0.29104966
  1     1           1.41003725           0.29966945           0.29104966
  2    -2           0.46277953           0.55496281           0.39008838
  2    -1           0.46277953           0.56099266           0.39432682
  2     0           0.46277953           0.54893295           0.38584994
  2     1           0.46277953           0.56099266           0.39432682
  2     2           0.46277953           0.55496281           0.39008838
  3    -3           1.31990718           4.30106485           4.05315890
  3    -2           1.31990718           2.36489744           2.22858884
  3    -1           1.31990718           3.55889202           3.35376363
  3     0           1.31990718           5.41432409           5.10225180
  3     1           1.31990718           3.55889202           3.35376363
  3     2           1.31990718           2.36489744           2.22858884
  3     3           1.31990718           4.30106485           4.05315890
