Atom: V , Spin: 1, Partial Phase Shift and DOS at Energy =    0.68632626
Total DOS in Cell and MT Volumes =   45.98427967  40.96008594
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.70146149           0.21838753           0.14805954
  1    -1          -0.17908094           0.61987651           0.35424169
  1     0          -0.17908094           0.61987651           0.35424169
  1     1          -0.17908094           0.61987651           0.35424169
  2    -2           1.05677930           7.12191791           6.59074642
  2    -1           1.05677930          13.91570969          12.87906286
  2     0           1.05677930           0.32812613           0.30242998
  2     1           1.05677930          13.91570969          12.87906286
  2     2           1.05677930           7.12191791           6.59074642
  3    -3           0.00281489           0.15189683           0.05556366
  3    -2           0.00281489           0.20000549           0.07315723
  3    -1           0.00281489           0.11622215           0.04250965
  3     0           0.00281489           0.20540885           0.07514468
  3     1           0.00281489           0.11622215           0.04250965
  3     2           0.00281489           0.20000549           0.07315723
  3     3           0.00281489           0.15189683           0.05556366
  4    -4           0.00008756           0.04164397           0.01033553
  4    -3           0.00008756           0.04277538           0.01061509
  4    -2           0.00008756           0.01923904           0.00477421
  4    -1           0.00008756           0.07584035           0.01882231
  4     0           0.00008756           0.00222605           0.00055273
  4     1           0.00008756           0.07584035           0.01882231
  4     2           0.00008756           0.01923904           0.00477421
  4     3           0.00008756           0.04277538           0.01061509
  4     4           0.00008756           0.04164397           0.01033553
