Atom: V , Spin: 1, Partial Phase Shift and DOS at Energy =    0.68912232
Total DOS in Cell and MT Volumes =   36.94869175  33.61753098
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.70154339           0.76669538           0.52051753
  1    -1          -0.17900118           0.42903961           0.24549195
  1     0          -0.17900118           0.42903961           0.24549195
  1     1          -0.17900118           0.42903961           0.24549195
  2    -2           1.13080008           6.95790502           6.46456444
  2    -1           1.13080008           6.95790502           6.46456444
  2     0           1.13080008           6.95790502           6.46456444
  2     1           1.13080008           6.95790502           6.46456444
  2     2           1.13080008           6.95790502           6.46456444
  3    -3           0.00285740           0.01401345           0.00513040
  3    -2           0.00285740           0.01401345           0.00513040
  3    -1           0.00285740           0.01401345           0.00513040
  3     0           0.00285740           0.01401345           0.00513040
  3     1           0.00285740           0.01401345           0.00513040
  3     2           0.00285740           0.01401345           0.00513040
  3     3           0.00285740           0.01401345           0.00513040
  4    -4           0.00008921           0.00080648           0.00020029
  4    -3           0.00008921           0.00080648           0.00020029
  4    -2           0.00008921           0.00080648           0.00020029
  4    -1           0.00008921           0.00080648           0.00020029
  4     0           0.00008921           0.00080648           0.00020029
  4     1           0.00008921           0.00080648           0.00020029
  4     2           0.00008921           0.00080648           0.00020029
  4     3           0.00008921           0.00080648           0.00020029
  4     4           0.00008921           0.00080648           0.00020029
