Atom: Zr, Spin: 1, Partial Phase Shift and DOS at Energy =    0.47642345
Total DOS in Cell and MT Volumes =   16.81216936   8.60878819
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.94439417           0.80070806           0.11773230
  1    -1          -0.32368581           0.42262499           0.05692209
  1     0          -0.32368581           0.42262499           0.05692209
  1     1          -0.32368581           0.42262499           0.05692209
  2    -2           0.50119603           2.91303984           1.66294565
  2    -1           0.50119603           2.91303984           1.66294565
  2     0           0.50119603           2.91303984           1.66294565
  2     1           0.50119603           2.91303984           1.66294565
  2     2           0.50119603           2.91303984           1.66294565
  3    -3           0.00168233           0.02548388           0.00079448
  3    -2           0.00168233           0.02548388           0.00079448
  3    -1           0.00168233           0.02548388           0.00079448
  3     0           0.00168233           0.02548388           0.00079448
  3     1           0.00168233           0.02548388           0.00079448
  3     2           0.00168233           0.02548388           0.00079448
  3     3           0.00168233           0.02548388           0.00079448
